# 官方源导入清单（国家法律法规数据库 flk.npc.gov.cn）
# 列：法名（官方全称，用于精确匹配）	法律部门 codeId	效力位阶	业务领域	起始ID
#   法律部门 codeId：110 宪法相关法 / 120 民法商法 / 130 行政法 / 140 经济法 /
#                    150 社会法 / 155 生态环境法 / 160 刑法 / 170 诉讼与非诉讼程序法 /
#                    210 行政法规 / 320 高法司法解释 / 330 高检司法解释
#   起始ID：每条法律固定 1000 号段（如 200000 -> 200000-200999），保证反复导入幂等、互不撞号
#   只导入「现行有效」（官方时效性 sxx=3）；已废止/已被修改/尚未生效版本一律跳过
#
# 已有法条（劳动法/劳动合同法/劳动争议调解仲裁法/民法典/刑法/民诉/公司法/消保法/
# 工伤保险条例/失业保险条例/职工带薪年休假条例/女职工劳动保护特别规定/
# 劳动合同法实施条例/诉讼费用交纳办法）不在此列，避免重复导入。
# ID 段位规划：1000-2999 存量样本 | 10001-10816 劳动域存量 | 200000 社会法域 |
#              400000 司法解释 | 500000 民法商法 | 600000 行政法 | 700000 经济法 |
#              800000 刑法与诉讼法 | 900000 补录条目
#
# ---- 社会法域（劳动相邻，部门 150）----
中华人民共和国社会保险法	150	法律	劳动	200000
中华人民共和国工会法	150	法律	劳动	201000
中华人民共和国就业促进法	150	法律	劳动	202000
中华人民共和国安全生产法	150	法律	劳动	203000
中华人民共和国职业病防治法	150	法律	劳动	204000
中华人民共和国矿山安全法	150	法律	劳动	205000
中华人民共和国特种设备安全法	150	法律	劳动	206000
中华人民共和国危险化学品安全法	150	法律	劳动	207000
中华人民共和国军人保险法	150	法律	劳动	208000
中华人民共和国妇女权益保障法	150	法律	劳动	209000
中华人民共和国未成年人保护法	150	法律	社会	210000
中华人民共和国预防未成年人犯罪法	150	法律	社会	211000
中华人民共和国老年人权益保障法	150	法律	社会	212000
中华人民共和国残疾人保障法	150	法律	社会	213000
中华人民共和国慈善法	150	法律	社会	214000
中华人民共和国红十字会法	150	法律	社会	215000
中华人民共和国公益事业捐赠法	150	法律	社会	216000
中华人民共和国法律援助法	150	法律	社会	217000
中华人民共和国反家庭暴力法	150	法律	社会	218000
中华人民共和国家庭教育促进法	150	法律	社会	219000
中华人民共和国无障碍环境建设法	150	法律	社会	220000
中华人民共和国退役军人保障法	150	法律	社会	221000
中华人民共和国母婴保健法	150	法律	社会	222000
中华人民共和国归侨侨眷权益保护法	150	法律	社会	223000
中华人民共和国科学技术普及法	150	法律	社会	224000
中华人民共和国社会救助法	150	法律	社会	225000
中华人民共和国境外非政府组织境内活动管理法	150	法律	社会	226000
# ---- 劳动相关司法解释（部门 320）----
最高人民法院关于审理劳动争议案件适用法律问题的解释（一）	320	司法解释	劳动	400000
最高人民法院关于审理劳动争议案件适用法律问题的解释（二）	320	司法解释	劳动	401000
最高人民法院关于审理工伤保险行政案件若干问题的规定	320	司法解释	劳动	402000
最高人民法院关于人事争议申请仲裁的时效期间如何计算的批复	320	司法解释	劳动	403000
最高人民法院关于审理拒不支付劳动报酬刑事案件适用法律若干问题的解释	320	司法解释	劳动	404000
最高人民法院关于人民法院审理事业单位人事争议案件若干问题的规定	320	司法解释	劳动	405000
最高人民法院关于人民法院对经劳动争议仲裁裁决的纠纷准予撤诉或驳回起诉后劳动争议仲裁裁决从何时起生效的解释	320	司法解释	劳动	406000
最高人民法院关于实行社会保险的企业破产后各种社会保险统筹费用应缴纳至何时问题的批复	320	司法解释	劳动	407000
最高人民法院关于审理劳动争议案件诉讼当事人问题的批复	320	司法解释	劳动	408000
